15.947,3755.863,153.268,0.019
15.997,3763.512,152.681,0.057
16.047,3771.131,152.094,0.172
16.097,3778.722,151.509,0.344
16.147,3786.282,150.925,0.458
16.197,3793.814,150.342,0.573
16.247,3801.317,149.76,0.63
16.297,3808.79,149.179,0.573
16.347,3816.234,148.598,0.516
16.397,3823.65,148.018,0.401
16.447,3831.036,147.439,0.344
16.497,3838.394,146.861,0.286
16.547,3845.722,146.283,0.022
16.597,3853.022,145.705,0.044
16.647,3860.293,145.129,0.019
16.697,3867.535,144.553,0.115
16.747,3874.748,143.978,0.023
16.797,3881.933,143.403,0.115
16.847,3889.089,142.829,0.172
16.897,3896.216,142.256,0.172
16.947,3903.314,141.684,0.229
16.997,3910.384,141.112,0.286
17.047,3917.425,140.541,0.344
17.097,3924.438,139.971,0.401
17.147,3931.423,139.401,0.344
17.197,3938.378,138.832,0.344
17.247,3945.306,138.263,0.286
17.297,3952.205,137.696,0.344
17.347,3959.075,137.129,0.229
17.397,3965.918,136.563,0.172
17.447,3972.732,135.999,0.015
17.497,3979.517,135.435,0.057
17.547,3986.275,134.872,0.172
17.597,3993.005,134.31,0.229
17.647,3999.706,133.748,0.229
17.697,4006.38,133.187,0.286
17.747,4013.025,132.628,0.344
17.797,4019.642,132.068,0.344
17.847,4026.232,131.51,0.458
17.897,4032.793,130.952,0.516
17.947,4039.327,130.395,0.401
17.997,4045.833,129.838,0.401
18.047,4052.311,129.282,0.229
18.097,4058.761,128.727,0.172
18.147,4065.183,128.172,0.229
18.197,4071.578,127.618,0.115
18.247,4077.945,127.064,0.115
18.297,4084.285,126.511,0.037
18.347,4090.596,125.958,0.115
18.397,4096.88,125.405,0.286
18.447,4103.137,124.853,0.286
18.497,4109.366,124.302,0.401
18.547,4115.567,123.751,0.401
18.597,4121.741,123.2,0.344
18.647,4127.887,122.65,0.401
18.697,4134.006,122.101,0.516
18.747,4140.097,121.552,0.688
18.797,4146.161,121.003,0.573
18.847,4152.198,120.456,0.458
18.897,4158.207,119.909,0.458
18.947,4164.188,119.362,0.458
18.997,4170.143,118.816,0.401
19.047,4176.07,118.272,0.172
19.097,4181.97,117.727,0.038
19.147,4187.843,117.184,0.115
19.197,4193.688,116.642,0.115
19.247,4199.507,116.1,0.172
19.297,4205.298,115.558,0.229
19.347,4211.063,115.017,0.344
19.397,4216.8,114.477,0.344
19.447,4222.511,113.938,0.401
19.497,4228.194,113.399,0.401
19.547,4233.85,112.86,0.516
19.597,4239.48,112.322,0.63
19.647,4245.083,111.785,0.63
19.697,4250.658,111.248,0.688
19.747,4256.208,110.712,0.688
19.797,4261.73,110.177,0.688
19.847,4267.225,109.641,0.573
19.897,4272.694,109.106,0.458
19.947,4278.136,108.572,0.344
19.997,4283.551,108.038,0.229
